Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14006_001
"36047008400","14000US36047008400","Census Tract 84, Kings County, New York","Census Tract 84, Kings County, New York","ny","140","00","ACSSF","0004550",,,,,"36","047",,,,"008400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49821
"36047008500","14000US36047008500","Census Tract 85, Kings County, New York","Census Tract 85, Kings County, New York","ny","140","00","ACSSF","0004551",,,,,"36","047",,,,"008500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13207
"36047008600","14000US36047008600","Census Tract 86, Kings County, New York","Census Tract 86, Kings County, New York","ny","140","00","ACSSF","0004552",,,,,"36","047",,,,"008600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36047008800","14000US36047008800","Census Tract 88, Kings County, New York","Census Tract 88, Kings County, New York","ny","140","00","ACSSF","0004553",,,,,"36","047",,,,"008800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64246
"36047009000","14000US36047009000","Census Tract 90, Kings County, New York","Census Tract 90, Kings County, New York","ny","140","00","ACSSF","0004554",,,,,"36","047",,,,"009000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38919
"36047009200","14000US36047009200","Census Tract 92, Kings County, New York","Census Tract 92, Kings County, New York","ny","140","00","ACSSF","0004555",,,,,"36","047",,,,"009200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43104
"36047009400","14000US36047009400","Census Tract 94, Kings County, New York","Census Tract 94, Kings County, New York","ny","140","00","ACSSF","0004556",,,,,"36","047",,,,"009400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42104
"36047009600","14000US36047009600","Census Tract 96, Kings County, New York","Census Tract 96, Kings County, New York","ny","140","00","ACSSF","0004557",,,,,"36","047",,,,"009600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40581
"36047009800","14000US36047009800","Census Tract 98, Kings County, New York","Census Tract 98, Kings County, New York","ny","140","00","ACSSF","0004558",,,,,"36","047",,,,"009800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38696
"36047010000","14000US36047010000","Census Tract 100, Kings County, New York","Census Tract 100, Kings County, New York","ny","140","00","ACSSF","0004559",,,,,"36","047",,,,"010000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40938
